73,MC 5,ASTARSA,AA 45,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Minicargador,1
74,MC 6,CATERPILLAR,246D,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Minicargador,1
75,MC 7,BOBCAT,S 630,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Minicargador,1
76,MC 7,BOBCAT,S 630,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Minicargador,1
77,MC 8,CATERPILLAR,246 D3,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Minicargador,1
78,MC 9,CATERPILLAR,236 D3,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Minicargador,1
79,MN 1,CHAMPION,710A,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,DDD106,Motoniveladora,1
80,MN 2,VOLVO,G940,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,DDD107,Motoniveladora,1
81,MN 3,CHAMPION,720A,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,ANN37,Motoniveladora,1
82,MN 5,CATERPILLAR,140K,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,DDD110,Motoniveladora,1
83,MN 6,SDLG,G9190,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,DDD108,Motoniveladora,1
84,MN 7,SDLG,G9190,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Motoniveladora,1
85,MN 8,SDLG,G9190,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Motoniveladora,1
86,MN 9,CATERPILLAR,140K,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,JPA04356,Motoniveladora,1
87,MN 10,SDLG,G9190,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Motoniveladora,1
88,MN 11,CATERPILLAR,140K,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Motoniveladora,1
89,MN 12,CATERPILLAR,140K,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Motoniveladora,1
90,MN 13,CATERPILLAR,140H,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Motoniveladora,1
91,MN 14,CATERPILLAR,140K,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Motoniveladora,1
92,MN 15,CATERPILLAR,120 H,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AAA0000,Motoniveladora,1
93,MOV 4,KIA,K-2500,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,HCE017,Camioneta,1
94,MOV 5,AGRALE,05-6000  RD E-MEX,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AA173VG,Camion,1
95,MOV 8,TOYOTA,ETIOS XLS 1.5 5 PUERTAS,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,ODV889,Automovil,1
96,MOV 10,TOYOTA,HILUX SW4 SRV 3.0 TDI AT C/cuero,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,GAD093,Camioneta,1
98,MOV 16,TOYOTA,HILUX 3.0 DOBLE CABINA 4X4,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,IIZ494,Camioneta,1
97,MOV 14,TOYOTA,HILUX 4X4 DC SRV 3.0 TDI,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,GUV799,Camioneta,1
99,MOV 17,TOYOTA,HILUX SW4 4X4 SRV 3,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,MIN819,Camioneta,1
100,MOV 18,VOLKSWAGEN,CADDY 1.9 SD,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,HUV841,Camioneta,1
101,MOV 19,VOLKSWAGEN,CADDY 1.9 SD,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,HUV841,Camioneta,1
102,MOV 20,VOLKSWAGEN,SAVEIRO 1.9 SD PLUS,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,ICT141,Camioneta,1
103,MOV 27,RENAULT,SANDERO 1.6 16V LUXE,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,LDH938,Automovil,1
104,MOV 32,TOYOTA,COROLLA 1.8 XEI A/T,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,MYP926,Automovil,1
105,MOV 33,TOYOTA,HILUX 4X2 DC DX 2.4 TDI 6 M/T,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AD461JW,Camioneta,1
106,MOV 35,TOYOTA,HILUX L/16 2.4 DC 4X2 DX TDI 6 M/T VER,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AD218HB,Camioneta,1
107,MOV 36,TOYOTA,HILUX 4X2 DC DX 2.4 TDI 6 M/T,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AD541WB,Camioneta,1
108,MOV 37,TOYOTA,HILUX 4X4 DC SR 2.8 TDI 6 M/T,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AC818GQ,Camioneta,1
109,MOV 38,TOYOTA,HILUX 4X2 DC DX 2.4 TDI 6 M/T,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AC341SW,Camioneta,1
110,MOV 39,TOYOTA,HILUX L/16 2.4 DC 4X2 DX TDI 6 M/T VER,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AC341SV,Camioneta,1
111,MOV 40,TOYOTA,COROLLA 1.8 XEI,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AD426RY,Automovil,1
112,MOV 41,FORD,100 XLT,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,CWJ970,Automovil,1
113,MOV 43,TOYOTA,HILUX 4X4 DC SRX 2.8 TDI 6 M/T,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AC110SB,Automovil,1
114,MOV 44,HONDA,HR-V 1.8 LX CVT L/19,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AD541XS,Automovil,1
115,MOV 46,TOYOTA,ETIOS XLS 1.5 4 PUERTAS,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,PBA738,Automovil,1
138,MOV 71,FIAT,STRADA 1.3L,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AF584ZG,Camioneta,1
116,MOV 48,TOYOTA,HILUX 4X2 C/D SRV 3.0 TDI - B3,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,NOK410,Camioneta,1
117,MOV 49,FIAT,CHRONOS,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AF013XH,Automovil,1
118,MOV 50,FIAT,CHRONOS,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AE993VV,Automovil,1
119,MOV 51,RENAULT,ALASKAN ICONIC 4X4 MT,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AF013XA,Camioneta,1
120,MOV 52,RENAULT,KANGOO 1.6 NAFTA,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,LHS660,Automovil,1
121,MOV 53,RENAULT,KANGOO 1.6 NAFTA,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,KVF615,Automovil,1
122,MOV 54,VOLKSWAGEN,AMAROK V6,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AA472SR,Camioneta,1
123,MOV 55,FORD,RANGER,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AA472SR,Camioneta,1
124,MOV 56,FORD,RANGER,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,OHO588,Camioneta,1
125,MOV 57,TOYOTA,HILUX SW4 TDI SRX,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AF403HP,Camioneta,1
126,MOV 58,RENAULT,ALASKAN ICONIC 4X4 MT,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AF192MS,Camioneta,1
127,MOV 59,RENAULT,ALASKAN ICONIC 4X4 MT,Chasis Generico,Motor Generico,2022,Generico,Generico,No,Generico,No,No,Generico,No,Pablofederico,Generico,f,0,0,No hay OC,Activo,AF192MX,Camioneta,1
